movie_title,production_budget,worldwide_box_office
Iron Man,186000000,585171547
The Incredible Hulk,137500000,265573859
Iron Man 2,170000000,621156389
Thor,150000000,449326618
Captain America: The First Avenger,140000000,370569776
The Avengers,225000000,1515100211
Iron Man 3,200000000,1215392272
Thor: The Dark World,150000000,644602516
Captain America: The Winter Soldier,170000000,714401889
Guardians of the Galaxy,170000000,770882395
Avengers: Age of Ultron,365000000,1395316979
Ant-Man,130000000,518858449
Captain America: Civil War,250000000,1151918521
Doctor Strange,165000000,676354481
Guardians of the Galaxy Vol. 2,200000000,869113101
Spider-Man: Homecoming,175000000,878346440
Thor: Ragnarok,180000000,850482778
Black Panther,200000000,1336494321
Avengers: Infinity War,300000000,2048359754
Ant-Man and the Wasp,130000000,623144660
Captain Marvel,175000000,1129727388
Avengers: End Game,400000000,2797800564
Spider-Man: Far From Home,160000000,1132532832
Black Widow,200000000,379751655
Shang-Chi and the Legend of the Ten Rings,150000000,432243292
Eternals,200000000,402064929
Spider-Man: No Way Home,200000000,1891108035
