movie_title,tomato_meter,audience_score,worldwide_box_office
Iron Man,94,91,585171547
The Incredible Hulk,67,70,265573859
Iron Man 2,72,71,621156389
Thor,77,76,449326618
Captain America: The First Avenger,79,75,370569776
The Avengers,91,91,1515100211
Iron Man 3,79,78,1215392272
Thor: The Dark World,66,75,644602516
Captain America: The Winter Soldier,90,92,714401889
Guardians of the Galaxy,92,92,770882395
Avengers: Age of Ultron,76,83,1395316979
Ant-Man,83,85,518858449
Captain America: Civil War,90,89,1151918521
Doctor Strange,89,86,676354481
Guardians of the Galaxy Vol. 2,85,87,869113101
Spider-Man: Homecoming,92,87,878346440
Thor: Ragnarok,93,87,850482778
Black Panther,96,79,1336494321
Avengers: Infinity War,85,91,2048359754
Ant-Man and the Wasp,87,81,623144660
Captain Marvel,79,45,1129727388
Avengers: End Game,94,90,2797800564
Spider-Man: Far From Home,90,95,1132532832
Black Widow,79,91,379751655
Shang-Chi and the Legend of the Ten Rings,91,98,432243292
Eternals,47,78,402064929
Spider-Man: No Way Home,93,98,1891108035
